Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-urwj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,hcs1,hcs2,answer,hcs3
1,1734498038610,18/12/2024 05:00:38,1734498041699,-5,18/12/2024 00:00:41,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1734498040658,18/12/2024 05:00:40,1734498043760,-5,18/12/2024 00:00:43,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,Zone1,content_web_audio,1697.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,hcs,,,,
3,1734498049458,18/12/2024 05:00:49,1734498052600,-5,18/12/2024 00:00:52,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,1,hcs,advancementZone,continue_button,10537,,,,,0,1,0,,,,,,hcs,,,,
4,1734498054427,18/12/2024 05:00:54,1734498057583,-5,18/12/2024 00:00:57,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,1,1,2,hcs_instr,advancementZone,continue_button,4977.100000023842,,,,,0,1,0,,,,,,hcs,,,,
5,1734498054934,18/12/2024 05:00:54,1734498058084,-5,18/12/2024 00:00:58,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,1,hcs_briefing,Zone1,timelimit_screen,503.09999999999854,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
6,1734498055049,18/12/2024 05:00:55,1734498058088,-5,18/12/2024 00:00:58,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,2,hcs1,content,content_web_audio,0.40000003576278687,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
7,1734498056429,18/12/2024 05:00:56,1734498059586,-5,18/12/2024 00:00:59,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,2,hcs1,Zone1,timelimit_screen,1502.9000000000015,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
8,1734498056534,18/12/2024 05:00:56,1734498059590,-5,18/12/2024 00:00:59,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,3,hcs2,content,content_web_audio,0.2999999523162842,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
9,1734498057948,18/12/2024 05:00:57,1734498061090,-5,18/12/2024 00:01:01,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,3,hcs2,Zone1,timelimit_screen,1503.0999999999985,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
10,1734498058064,18/12/2024 05:00:58,1734498061094,-5,18/12/2024 00:01:01,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,4,hcs3_resp,content,content_web_audio,0.40000003576278687,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
11,1734498059758,18/12/2024 05:00:59,1734498062907,-5,18/12/2024 00:01:02,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,5,1,4,hcs3_resp,btn2,response_paragraph,1813.800000011921,,,2,1,1,0,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
12,1734498060249,18/12/2024 05:01:00,1734498063405,-5,18/12/2024 00:01:03,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,1,hcs_briefing,Zone1,timelimit_screen,503.09999999999854,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
13,1734498060387,18/12/2024 05:01:00,1734498063410,-5,18/12/2024 00:01:03,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,2,hcs1,content,content_web_audio,0.699999988079071,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
14,1734498061755,18/12/2024 05:01:01,1734498064908,-5,18/12/2024 00:01:04,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,2,hcs1,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
15,1734498061869,18/12/2024 05:01:01,1734498064911,-5,18/12/2024 00:01:04,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,3,hcs2,content,content_web_audio,0.40000003576278687,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
16,1734498063263,18/12/2024 05:01:03,1734498066410,-5,18/12/2024 00:01:06,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,3,hcs2,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
17,1734498063386,18/12/2024 05:01:03,1734498066414,-5,18/12/2024 00:01:06,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,4,hcs3_resp,content,content_web_audio,0.30000001192092896,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
18,1734498064950,18/12/2024 05:01:04,1734498068097,-5,18/12/2024 00:01:08,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,2,2,4,hcs3_resp,btn3,response_paragraph,1682.4000000357628,,,3,1,1,0,0,,,,,1,hcs_trial,antiphase.wav,inphase.wav,3,inphase_softer.wav
19,1734498065436,18/12/2024 05:01:05,1734498068593,-5,18/12/2024 00:01:08,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,1,hcs_briefing,Zone1,timelimit_screen,497.5,,,,,0,1,0,,,1,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
20,1734498065551,18/12/2024 05:01:05,1734498068596,-5,18/12/2024 00:01:08,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,2,hcs1,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
21,1734498066948,18/12/2024 05:01:06,1734498070090,-5,18/12/2024 00:01:10,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,2,hcs1,Zone1,timelimit_screen,1497.0999999999985,,,,,0,1,0,,,1,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
22,1734498067063,18/12/2024 05:01:07,1734498070093,-5,18/12/2024 00:01:10,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,3,hcs2,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
23,1734498068453,18/12/2024 05:01:08,1734498071592,-5,18/12/2024 00:01:11,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,3,hcs2,Zone1,timelimit_screen,1502.2999999999993,,,,,0,1,0,,,1,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
24,1734498068574,18/12/2024 05:01:08,1734498071596,-5,18/12/2024 00:01:11,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,4,hcs3_resp,content,content_web_audio,0.30000001192092896,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
25,1734498070386,18/12/2024 05:01:10,1734498073535,-5,18/12/2024 00:01:13,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,6,3,4,hcs3_resp,btn1,response_paragraph,1938.300000011921,,,1,1,1,0,0,,,,,1,hcs_trial,inphase_softer.wav,antiphase.wav,1,inphase.wav
26,1734498070875,18/12/2024 05:01:10,1734498074029,-5,18/12/2024 00:01:14,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,1,hcs_briefing,Zone1,timelimit_screen,502.8999999999978,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
27,1734498071004,18/12/2024 05:01:11,1734498074032,-5,18/12/2024 00:01:14,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,2,hcs1,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
28,1734498072388,18/12/2024 05:01:12,1734498075532,-5,18/12/2024 00:01:15,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,2,hcs1,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
29,1734498072491,18/12/2024 05:01:12,1734498075535,-5,18/12/2024 00:01:15,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,3,hcs2,content,content_web_audio,0.2999999523162842,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
30,1734498073890,18/12/2024 05:01:13,1734498077035,-5,18/12/2024 00:01:17,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,3,hcs2,Zone1,timelimit_screen,1502.9000000000015,,,,,0,1,0,,,1,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
31,1734498074000,18/12/2024 05:01:14,1734498077038,-5,18/12/2024 00:01:17,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,4,hcs3_resp,content,content_web_audio,0.30000001192092896,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
32,1734498075564,18/12/2024 05:01:15,1734498078726,-5,18/12/2024 00:01:18,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,3,4,4,hcs3_resp,btn2,response_paragraph,1687.4000000357628,,,2,1,1,0,0,,,,,1,hcs_trial,antiphase.wav,inphase_softer.wav,2,inphase.wav
33,1734498076074,18/12/2024 05:01:16,1734498079222,-5,18/12/2024 00:01:19,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,1,hcs_briefing,Zone1,timelimit_screen,503,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
34,1734498076211,18/12/2024 05:01:16,1734498079226,-5,18/12/2024 00:01:19,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,2,hcs1,content,content_web_audio,0.30000001192092896,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
35,1734498077581,18/12/2024 05:01:17,1734498080725,-5,18/12/2024 00:01:20,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,2,hcs1,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
36,1734498077699,18/12/2024 05:01:17,1734498080730,-5,18/12/2024 00:01:20,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,3,hcs2,content,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
37,1734498079080,18/12/2024 05:01:19,1734498082228,-5,18/12/2024 00:01:22,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,3,hcs2,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
38,1734498079178,18/12/2024 05:01:19,1734498082233,-5,18/12/2024 00:01:22,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,4,hcs3_resp,content,content_web_audio,0.40000003576278687,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
39,1734498080759,18/12/2024 05:01:20,1734498083908,-5,18/12/2024 00:01:23,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,4,5,4,hcs3_resp,btn3,response_paragraph,1674.6000000238419,,,3,1,1,0,0,,,,,1,hcs_trial,inphase.wav,antiphase.wav,3,inphase_softer.wav
40,1734498081254,18/12/2024 05:01:21,1734498084398,-5,18/12/2024 00:01:24,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,1,hcs_briefing,Zone1,timelimit_screen,497.09999999999854,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
41,1734498081362,18/12/2024 05:01:21,1734498084402,-5,18/12/2024 00:01:24,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,2,hcs1,content,content_web_audio,0.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
42,1734498082754,18/12/2024 05:01:22,1734498085901,-5,18/12/2024 00:01:25,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,2,hcs1,Zone1,timelimit_screen,1503,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
43,1734498082873,18/12/2024 05:01:22,1734498085904,-5,18/12/2024 00:01:25,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,3,hcs2,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
44,1734498084256,18/12/2024 05:01:24,1734498087404,-5,18/12/2024 00:01:27,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,3,hcs2,Zone1,timelimit_screen,1502.9000000000015,,,,,0,1,0,,,1,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
45,1734498084371,18/12/2024 05:01:24,1734498087408,-5,18/12/2024 00:01:27,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,4,hcs3_resp,content,content_web_audio,0.3999999761581421,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
46,1734498085738,18/12/2024 05:01:25,1734498088884,-5,18/12/2024 00:01:28,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,HCS,7,6,4,hcs3_resp,btn2,response_paragraph,1475.5,,,2,1,1,0,0,,,,,1,hcs_trial,inphase.wav,inphase_softer.wav,2,antiphase.wav
47,1734498085854,18/12/2024 05:01:25,1734498088887,-5,18/12/2024 00:01:28,170312,15,task-7tte,,42090828,BLIND,12291266,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1707x791,,,,Headphone test,1,headphone_test_accept,HCS,,,END TASK,,,,,47188,,,,,0,1,0,,,,,,,,,,
END OF FILE
